學校類別,學校代碼,學校名稱,在學學生人數_博士班,在學學生人數_碩士班,在學學生人數_學士班,在學學生人數_二專,在學學生人數_五專,上學年度畢業生人數_博士,上學年度畢業生人數_碩士,上學年度畢業生人數_學士,上學年度畢業生人數_二專,上學年度畢業生人數_五專
大專校院,0001,國立政治大學,4,42,123,0,0,1,7,42,0,0
大專校院,0002,國立清華大學,11,68,81,0,0,0,4,20,0,0
大專校院,0003,國立臺灣大學,8,35,288,0,0,2,8,49,0,0
大專校院,0004,國立臺灣師範大學,16,39,225,0,0,0,5,39,0,0
大專校院,0005,國立成功大學,4,28,122,0,0,0,4,15,0,0
大專校院,0006,國立中興大學,4,17,86,0,0,0,5,16,0,0
大專校院,0007,國立交通大學,5,17,26,0,0,0,4,6,0,0
大專校院,0008,國立中央大學,1,15,40,0,0,0,0,9,0,0
大專校院,0009,國立中山大學,0,0,45,0,0,0,0,3,0,0
大專校院,0012,國立臺灣海洋大學,0,6,73,0,0,0,5,11,0,0
大專校院,0013,國立中正大學,2,35,74,0,0,0,3,10,0,0
大專校院,0014,國立高雄師範大學,7,56,140,0,0,1,3,7,0,0
大專校院,0015,國立彰化師範大學,0,20,98,0,0,0,2,19,0,0
大專校院,0016,國立陽明大學,3,12,21,0,0,1,2,5,0,0
大專校院,0017,國立臺北大學,2,12,88,0,0,0,3,24,0,0
大專校院,0018,國立嘉義大學,3,30,135,0,0,0,0,29,0,0
大專校院,0019,國立高雄大學,0,5,78,0,0,0,1,12,0,0
大專校院,0020,國立東華大學,23,186,514,0,0,0,18,105,0,0
大專校院,0021,國立暨南國際大學,7,40,233,0,0,2,7,21,0,0
大專校院,0022,國立臺灣科技大學,3,9,106,0,0,0,4,15,0,0
大專校院,0023,國立雲林科技大學,1,10,73,0,0,0,0,13,0,0
大專校院,0024,國立屏東科技大學,1,42,165,0,0,0,9,13,0,0
大專校院,0025,國立臺北科技大學,0,18,76,0,1,0,2,18,0,0
大專校院,0028,國立臺北藝術大學,1,12,34,0,0,0,4,9,0,0
大專校院,0029,國立臺灣藝術大學,1,11,99,0,0,0,2,10,0,0
大專校院,0030,國立臺東大學,2,142,332,0,0,0,32,45,0,0
大專校院,0031,國立宜蘭大學,0,9,146,0,0,0,0,5,0,0
大專校院,0032,國立聯合大學,0,3,86,0,0,0,1,8,0,0
大專校院,0033,國立虎尾科技大學,0,4,93,0,1,0,3,14,0,0
大專校院,0035,國立臺南藝術大學,0,17,17,0,0,0,1,3,0,0
